PCB_ID,Lot_ID,Line,Machine,Feeder_ID,Nozzle_ID,Component,Offset_X,Offset_Y,Offset_Angle,Solder_Height,Solder_Volume,Vacuum_Pressure,Placement_Force,Reflow_Peak_Temp,Tact_Time,Grade,Defect_Type,Is_Defective
PCB_000001,LOT_20260301,SMD_Line_A,Mounter_01,FD_25,NZ_11,BGA_256,-11.29,5.11,0.353,141.84,95.64,,3.03,244.3,4.72,F,Tombstone,1
PCB_000002,LOT_20260301,SMD_Line_C,Mounter_02,FD_16,NZ_01,CHIP_1005,12.16,5.68,0.183,131.17,100.74,-75.14,2.88,246.7,3.7,A,Normal,0
PCB_000003,LOT_20260301,SMD_Line_B,Mounter_04,FD_17,NZ_11,CHIP_0603,-21.34,-8.66,-0.303,115.35,90.45,-68.66,4.05,239.6,3.94,A,Normal,0
PCB_000004,LOT_20260301,SMD_Line_B,Mounter_03,FD_17,NZ_05,CHIP_1005,-4.17,-8.87,-0.286,131.42,101.14,,2.98,248.8,3.03,A,Normal,0
PCB_000005,LOT_20260301,SMD_Line_A,Mounter_04,FD_16,NZ_07,CHIP_0603,10.84,19.13,-0.209,99.79,84.37,-70.66,3.16,245.5,4.94,A,Normal,0
PCB_000006,LOT_20260301,SMD_Line_A,Mounter_03,FD_26,NZ_08,CHIP_1005,7.88,-16.38,-0.453,136.99,113.37,-69.53,2.65,250.8,4.02,A,Normal,0
PCB_000007,LOT_20260301,SMD_Line_A,Mounter_01,FD_19,NZ_09,CAP_3216,2.99,10.84,0.582,149.75,126.53,-72.42,3.24,245.5,3.9,B,Normal,0
PCB_000008,LOT_20260301,SMD_Line_C,Mounter_03,FD_11,NZ_11,BGA_256,-13.69,-12.78,-0.42,122.85,104.97,-71.03,3.03,232.7,3.35,A,Normal,0
PCB_000009,LOT_20260301,SMD_Line_B,Mounter_04,FD_06,NZ_11,CHIP_1005,-0.68,-3.47,0.444,116.44,112.4,-75.35,4.06,243.9,3.75,A,Normal,0
PCB_000010,LOT_20260301,SMD_Line_B,Mounter_02,FD_19,NZ_12,IC_QFP_48,8.33,0.47,0.154,83.76,,-73.3,3.67,243.9,4.83,A,Normal,0
